v8-version,6,0,287,53,0
code-creation,Stub,3,59667,0xe076b14d2a0,2316,"RecordWriteStub"
code-creation,Stub,3,59669,0xe076b14dbc0,2286,"RecordWriteStub"
code-creation,Stub,17,59671,0xe076b14e4c0,423,"BinaryOpICStub"
code-creation,Stub,3,59672,0xe076b14e680,2282,"RecordWriteStub"
code-creation,Stub,3,59674,0xe076b14ef80,1028,"RecordWriteStub"
code-creation,Stub,17,59676,0xe076b14f3a0,173,"BinaryOpICStub"
code-creation,Stub,17,59677,0xe076b14f460,228,"BinaryOpICStub"
code-creation,Stub,3,59679,0xe076b14f560,238,"InternalArrayConstructorStub"
code-creation,Stub,3,59680,0xe076b14f660,2286,"RecordWriteStub"
code-creation,Stub,3,59682,0xe076b14ff60,2315,"RecordWriteStub"
code-creation,Stub,3,59709,0xe076b150880,419,"CreateWeakCellStub"
code-creation,Stub,17,59712,0xe076b150a40,427,"BinaryOpICStub"
code-creation,Stub,17,59714,0xe076b150c00,248,"BinaryOpICStub"
code-creation,Stub,3,59715,0xe076b150d00,2270,"RecordWriteStub"
code-creation,Stub,3,59717,0xe076b1515e0,2324,"RecordWriteStub"
code-creation,Stub,3,59719,0xe076b151f00,2273,"RecordWriteStub"
code-creation,Stub,17,59720,0xe076b152800,455,"BinaryOpICStub"
code-creation,Stub,3,59722,0xe076b1529e0,2340,"RecordWriteStub"
code-creation,Stub,17,59724,0xe076b153320,455,"BinaryOpICStub"
code-creation,Stub,17,59725,0xe076b153500,304,"BinaryOpICStub"
code-creation,Stub,17,59727,0xe076b153640,423,"BinaryOpICStub"
code-creation,Stub,17,59729,0xe076b153800,173,"BinaryOpICStub"
code-creation,Stub,3,59730,0xe076b1538c0,1008,"RecordWriteStub"
code-creation,Stub,17,59732,0xe076b153cc0,264,"BinaryOpICStub"
code-creation,Builtin,5,59734,0xe076b153de0,166,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,5,59759,0xe076b153ea0,156,"ReturnReceiver"
code-creation,Builtin,5,59761,0xe076b153f40,303,"GeneratorPrototypeNext"
code-creation,Builtin,5,59786,0xe076b154080,441,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,59788,0xe076b154240,367,"CreateIterResultObject"
code-creation,Builtin,5,59813,0xe076b1543c0,311,"GeneratorPrototypeReturn"
code-creation,Builtin,5,59815,0xe076b154500,319,"GeneratorPrototypeThrow"
code-creation,Builtin,5,59837,0xe076b154640,1688,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,59841,0xe076b154ce0,232,"ToBoolean"
code-creation,Builtin,5,59843,0xe076b154de0,4316,"ResolveNativePromise"
code-creation,Builtin,5,59845,0xe076b155ec0,496,"StringEqual"
code-creation,Builtin,5,59847,0xe076b1560c0,5328,"PerformNativePromiseThen"
code-creation,Builtin,5,59849,0xe076b1575a0,860,"RejectNativePromise"
code-creation,Builtin,5,59850,0xe076b157900,2224,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,59852,0xe076b1581c0,1712,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,59854,0xe076b158880,942,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,59856,0xe076b158c40,531,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,59857,0xe076b158e60,1012,"AsyncGeneratorResolve"
code-creation,Builtin,5,59883,0xe076b159260,239,"AsyncGeneratorReject"
code-creation,Builtin,5,59885,0xe076b159360,942,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,59887,0xe076b159720,942,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,59888,0xe076b159ae0,166,"Illegal"
code-creation,Builtin,5,59890,0xe076b159ba0,166,"ObjectAssign"
code-creation,Builtin,5,59892,0xe076b159c60,166,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,59894,0xe076b159d20,166,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,59895,0xe076b159de0,166,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,59897,0xe076b159ea0,166,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,59899,0xe076b159f60,166,"ObjectIs"
code-creation,Builtin,5,59901,0xe076b15a020,166,"ObjectPreventExtensions"
code-creation,Builtin,5,59902,0xe076b15a0e0,166,"ObjectSeal"
code-creation,Builtin,5,59904,0xe076b15a1a0,920,"ObjectCreate"
code-creation,Builtin,5,59906,0xe076b15a540,166,"ObjectDefineProperties"
code-creation,Builtin,5,59907,0xe076b15a600,166,"ObjectDefineProperty"
code-creation,Builtin,5,59909,0xe076b15a6c0,166,"ObjectFreeze"
code-creation,Builtin,5,59911,0xe076b15a780,166,"ObjectGetPrototypeOf"
code-creation,Builtin,5,59912,0xe076b15a840,166,"ObjectSetPrototypeOf"
code-creation,Builtin,5,59914,0xe076b15a900,166,"ObjectIsExtensible"
